Exercise Name,Main Muscle Groups,Experience Level,Focus Type,Equipment,Description,Tutorial
Bodyweight Side Lunge,"Upper Legs, Glutes",Beginner,"Strength, Compound",Body Only,No Description,"('Start by standing up straight with a slight bend in your knees.', 'Step out to your side with your left leg and squat down through your hips.', 'Lower yourself towards the floor so that your front leg is parallel with the floor and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Seated Tricep Extension,"Triceps, Shoulders",Intermediate,"Strength, Isolation",Barbell,The barbell seated overhead triceps extension exercise uses a barbell to isolate the triceps,"('Start by sitting on a short back chair with your feet firmly placed on the floor and your back straight.', 'Grab an EZ, Curl bar or barbell with a grip about 6 inches apart.', 'Raise the bar to arms length above your head and then lower the bar in an arc towards the floor behind your head.', 'Hold this position for a count.', 'Return to starting position and repeat for as many reps and sets as desired.')"
Bench Leg Raise (Supine),Core,Beginner,"Strength, Isolation",Bench,No Description,"('Begin in a supine (on your back) position on a flat bench.', 'Raise your legs up in the air while keeping them together.  ', 'Extend them till they are straight up in the air pointing towards the ceiling.  ', 'Slowly bring back your legs to a flat position.  ', 'Repeat for the desired amount of reps.')"
Dual Cable Triceps Extension,"Triceps, Triceps, Back, Forearms",Intermediate,"Strength, Compound, Strength",Machine - Strength,No Description,"('To begin this exercise; start off by standing with the cable machine at your back. Grab onto overhead cables that are attached to a pulley machine. ', 'Grab each cable with the opposite hand so that you arms are criss-crossed.', 'Then pull across and down as if you were doing a tricep extension with each hand. ', 'Hold onto this position for a few seconds squeezing your upper back and triceps tightly.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Bodyweight Rear Lunge,"Upper Legs, Glutes, Lower Legs",Beginner,"Strength, Compound",Body Only,No Description,"('Start by standing up straight with a slight bend in your knees and arms at your sides.', 'Step behind you with one of your legs while maintaining your balance and squat down through your hips.', 'Lower yourself down towards the ground so that your front knee is parallel with the ground and hold for a count.', 'Return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Preacher Curl,"Biceps, Forearms",Beginner,"Strength, Isolation",Dumbbell,The dumbbell preacher curl exercise is a version of the preacher curl that uses dumbbells and a special bench to isolate the biceps build and strengthen the arms,"('Start off by adjust the seat of the bench so your arms are level with the top of the bench.', 'Grab a dumbbell in each hand with an underhand (palms facing up) grip.', 'Picking up the dumbbells, rest your arms against the bench and extend them fully towards the floor.', 'Keeping your arms on the bench at all times, curl the weight up towards your head, squeezing and isolating your biceps.', 'Pause for a moment and then lower the weights back to starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Inverted Row,Back,Intermediate,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by taking a barbell and placing it on a rack at about waist level.', 'Position yourself underneath the bar, with full body resting on the floor. Grab the bar with a shoulder-width, overhand grip. Keep your body extended straight out with heels on the ground.', 'Flex up with your elbows, pulling your chest towards the bar until you feel a stretch in your middle to lower back.', 'Repeat for as many reps and sets as desired.')"
Cable Wrist Curl,Forearms,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Sit down on the bench with your arms resting on your thighs.  ', 'Grab the bar attached to the cables.', 'Pull the bar towards your chest while keeping your elbows on your thighs.  ', 'When the bar is held to your chest hold for a few seconds before letting back down.  ', 'Repeat for the desired amount of reps and sets.')"
Dumbbell Seated Calf Raise,Lower Legs,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by sitting down on the end of a flat bench with a block or step positioned right in front of you, and hold a dumbbell on both of your legs.', 'Dip your heels down towards the floor as far as possible as this will be your starting position.', 'Keeping the dumbbells firmly pressed up against your knees, slowly raise your heels up off of the floor as far as possible squeezing your calves and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Bench Crunch,Core,Beginner,"Strength, Isolation",Bench,The crunches with legs on a bench is one of the most common abdominal exercises that isolates the ab muscles,"('Lie on your back with your feet up on a bench, keeping your knees bent at a 90-degree angle, placing your hands across your chest or on either side of your head.', 'Raise your head, shoulders and chest off the floor moving towards your knees, as you flex your spine.', 'Hold the position for a moment and then lower to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Rope Deltoid Row,"Shoulders, Biceps, Back",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('To begin this exercise; start off in the same position as a seated cable row in front of a cable machine.', 'Taking an overhead rope, grab it with an overhand grip keeping your back straight and knees bent.', 'Then pull the cable towards your chest bringing your elbows pushed out towards the sites holding on for a few seconds squeezing tightly.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Barbell Rack Pull,"Back, Forearms, Glutes",Intermediate,"Strength, Compound",Barbell,No Description,"('Start by setting up a power rack with a barbell rested upon pins just below your knees and then position yourself right against the bar.', 'Bend slightly in the knees just as in a deadlift position and while keeping your head looking forward, extend upward through your hips pulling the bar up until you lock with your knees.', 'Straighten out, hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Side Bridge,Core,Beginner,Strength,Body Only,The side bridge exercise is a great core workout to improve strength and conditioning,"('Start by lying on one side of your body with your legs extended out straight and your forearm perpendicular to your body.', 'Once in position, draw your abs in and slowly raise yourself up so that you are balanced on your feet and forearm.', 'Hold onto this position for a count, squeezing your abdominals and then return back to the starting position.')"
Kettlebell Swing,"Upper Legs, Shoulders, Back",Intermediate,"Strength, Compound",Kettlebell,"The kettlebell swing is a dynamic exercise that primarily targets the posterior chain muscles, including the glutes, hamstrings, and lower back, while also engaging the core, shoulders, and grip strength",()
Barbell Curl (Close Grip),Biceps,Beginner,"Strength, Isolation",Barbell,The close-grip standing barbell curl uses a barbell to help isolate the bicep during the curl,"('Start by standing up straight with your feet shoulder width apart, keeping your knees slightly bent and abs tight.', 'Grab a barbell with an underhand grip and extend your arms against your thighs as this will be your starting position.', 'While keeping your elbows locked by your side, raise the bar up towards your chest. ', 'Hold this position for a count and return back to the starting position.')"
Smith Machine Upright Row,Shoulders,Beginner,"Strength, Compound, Strength",Machine - Strength,A Smith Machine Upright Row is an exercise that targets the shoulders and upper trapezius muscles,"('Position the barbell on the Smith machine at a height that is just below your thighs when you are standing upright', 'Stand with your feet shoulder-width apart', 'Unlock the bar from the Smith machine by rotating it or releasing the safety latches, depending on the machine model', 'Lift the barbell straight up towards your chin, leading with your elbows', 'Slowly lower the bar back to the starting position in a controlled manner', 'Inhale as you lift the bar up')"
Machine Hammer Curl,Biceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a bicep curl machine that has rotating handles. ', 'Rest your arms over the padding keeping them straight and grab onto the handles with a neutral (hammer) grip.', 'Slowly elevate the handles up towards your shoulders, squeezing and isolating your biceps, and hold for a count.', 'Return to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell One-Arm Shoulder Press,"Shoulders, Triceps, Core",Intermediate,"Strength, Compound",Dumbbell,The Dumbbell One-Arm Shoulder Press is an excellent exercise for building shoulder and tricep strength and stability,"('Stand with your feet shoulder-width apart, or sit on a bench or chair with your feet flat on the floor', 'Engage your core muscles to maintain a stable torso and avoid arching your back during the press', 'Press the dumbbell overhead by extending your arm until it is fully extended but not locked out', 'Slowly lower the dumbbell back to the starting position at shoulder height, maintaining control and stability throughout the movement')"
Flutter Kick,"Glutes, Upper Legs",Beginner,"Strength, Compound",Body Only,The flutter kick exercise works and strengthens the hamstrings and the muscles on the back of the thigh,"('Start off in a prone position on the floor, resting your forehead on your hands that are out in front of you.  ', 'While keeping both legs straight, raise one leg off the floor a few inches, lower and repeat on the opposite side.', ""As you feel more comfortable with the movement, you can pick up the speed slightly, so you're not resting between reps. It should look similar to how your feet move up and down while swimming."", 'Repeat for as many reps and sets as desired.', 'Keep your back straight throughout this exercise and hips in contact with the floor.')"
Cable Upper Row,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start off by standing in front of a high pulley cable machine and grabbing it with a narrow grip.', 'Keep your knees bent and shoulder width apart, slowly pull the bar back and down towards your pecs; making sure that your elbows bend in towards the sides as you bring the bar in to your chest.', 'Hold this position for a few seconds then return back to the starting position and repeat for as many reps and sets desired.')"
Cable Standing Leg Curl,Upper Legs,Beginner,"Strength, Isolation, Strength",Machine - Strength,The standing leg curl exercise works the hamstring as well as the muscles on the back of the thighs,"('Start off standing at a leg curl machine adjust the rear footpad so it is just above your ankle.', 'Grasp the handles of the machine for support and draw your abs in.', 'Raise your foot up towards your back slowly in a controlled motion.', 'Return to the starting position and change legs.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Tate Press,Triceps,Intermediate,"Strength, Isolation",Dumbbell,The dumbbell tate press is an advanced tricep exercise that moves the muscle differently but still targets and builds the tricep muscle,"('Start by lying flat on a bench with your head at one end and your feet firmly planted on the floor at the other end.', 'Hold a dumbbell in each hand so your palms are faced towards your feet.', 'Drawing your abs in and keeping your back on the bench, raise the weights to the center of your chest.', 'Without moving elbows, slowly raise your arms up and out contracting your triceps.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Inner Bicep Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,No Description,"('To begin this exercise; sit down on a flat bench at the very edge with a dumbbell in each hand and elbows close to the pelvis. ', 'Keep the palms of the hands so that they are facing inward towards the body.', 'Curl the dumbbell out and up, keeping the forearms lined up with the deltoids.', 'Continue performing until the biceps are fully contracted and squeeze tightly, holding for a few seconds then bring back down to the starting positions.', 'Repeat this exercise for as many repetitions as needed.')"
Machine Single-Leg Calf Press,Lower Legs,Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up the leg press machine with the amount of weight that you would like to perform for this exercise.', 'Sit down with your back flat on the padding behind you and placing one leg on the platform in front of you.', 'Slowly lift the weight off of the rack and shift your foot down so that only the ball of your foot is rested at the very edge of the platform.', 'Extend your heel down as far as possible, feeling a stretch and squeezing your calf, hold for a count then return back to the starting position.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dynamic Chest Stretch,"Chest, Chest",Beginner,,Body Only,No Description,"('Start by standing up straight with your arms at your side and feet shoulder width apart.', 'Extend your hands out in front of you palms together then quickly move your arms back as far as possible.', 'Return back to the starting position quickly and repeat for as man reps and sets as desired.')"
Smith Machine Bench Press (Close Grip),"Triceps, Chest, Shoulders",Beginner,"Strength, Compound, Strength",Machine - Strength,The smith machine close grip bench press exercise uses a close grip to isolate the triceps and also work the chest muscles,"('Start off by placing a flat bench in the middle of a smith machine.', 'Using a close grip, hands about 6 inches apart, unlatch the bar and lower it towards your chest.', 'Pause just before the bar hits your chest and raise the bar by extending your arms to the starting position.', 'Repeat for as many reps and sets as possible', 'Refrain from bouncing the bar off of your chest as this is improper form and could lead to injury.')"
Dumbbell Bench Squat,"Upper Legs, Back, Glutes",Intermediate,"Strength, Compound",Dumbbell,No Description,"('To begin this exercise; start off with dumbbells in both arms rested on your side positioned right in front of a bench.', 'Bend at your knees and start to sit back with your hips as you go down for a standard squat keeping your back and chest straight out. ', 'Continue on with the squat until your hamstrings and glutes are rested upon the box and hold on for a few seconds.', 'Then using the force of your heels and lower legs, straighten out and extend your hips to get back to your starting position.', 'Repeat this exercise for as many repetitions as needed')"
Cable Standing Row,Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by standing in front of a low pulley cable machine and grabbing onto a narrow grip.', 'Keep your knees bent and shoulder width apart then slowly pull the bar back, making sure that your elbows bend in towards the sides as you bring the bar in to your pecs.', 'Hold this position for a few seconds then return back to the starting position and repeat for as many reps and sets desired.')"
Dumbbell Bicep Curl (Reverse Grip),"Forearms, Biceps",Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start by standing up straight, feet shoulder width apart and arms rested at your sides holding a dumbbell in each hand with a palms down reverse grip.', 'Slowly elevate the dumbbells up to your shoulders, squeezing your forearm, and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Kettlebell Front Squat,"Upper Legs, Glutes, Lower Legs",Intermediate,"Strength, Compound",Kettlebell,No Description,"('To begin this exercise; start off by clean pressing two kettlebells to your shoulders.', 'Then squat down as low as you can as in a normal full squat and hold down for a few seconds when you reach the bottom.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Cable Incline Bicep Curl,Biceps,Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up an incline bench in between two low pulley cable machines with handles attached to each machine.', 'Sit with your back flat on the incline bench with each hand holding onto the cables and your feet flat on the floor.', 'Keep your arms outstretched then slowly curl the cables in towards your chest, isolating your biceps, and hold for a count.', 'Return back to the starting position and repeat for as many reps and set as desired.')"
EZ Bar Incline Tricep Extension,Triceps,Intermediate,"Strength, Isolation",EZ Curl Bar,The EZ Bar incline triceps extension exercise is a version of the triceps extension that uses gravity to increase the resistance of the exercise,"('Start by grabbing onto a barbell with a close grip (4 to 6 inches apart) and lie on an incline bench, holding the barbell over your head, as this will be your starting position.', 'Slowly lower your arms in an arc until your forearms touch your biceps and you feel a stretch in your tricep muscles.', 'Hold this position for a count then return back up to the starting position.', 'Repeat for as many reps and sets as you desire.')"
Cable One-Arm Tricep Pushdown (Reverse Grip),Triceps,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up a handle on a high cable pulley machine, then face the machine and grab the handle with an underhand grip.', 'Pull down so that your elbow is tucked in at your side and hand is around chest level, then slowly extend your arm down as far as possible, squeezing your tricep and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Band Cross-Over,Chest,Beginner,"Strength, Compound",Bands,"The exercise band cross-over, often referred to as the resistance band crossover, is a great exercise for targeting the chest muscles","('Attach the resistance bands to a sturdy anchor point at chest height', 'Stand facing away from the anchor point with a handle in each hand', 'Position your feet shoulder-width apart', 'Exhale as you bring the handles together in front of you in a hugging motion, keeping a slight bend in your elbows', 'Inhale as you slowly return your arms to the starting position, maintaining control and tension in the bands throughout the movement')"
Aerobics,"Cardio, Cardio",Beginner,Isolation,Others,"Aerobic Exercise focuses upon cardiovascular fitness, muscle strength and endurance by performing aerobic workouts",()
Weighted Trunk Rotation,Core,Beginner,"Strength, Isolation",Weight Plate,No Description,"('Stand straight up with your feet shoulder width apart and holding a weight plate in your arms up against your chest.', 'Rotate your torso to the right without twisting your feet, then rotate your body to the left and contract your abs.', 'Repeat for as many reps and sets as desired.')"
Cat Stretch,Back,Beginner,,Body Only,No Description,"('Start by kneeling down on the floor with your feet extended behind you and your hands flat on the floor at shoulder level.', 'Slowly pull your belly in and round out your back, letting your head drop to the floor until you feel a stretch in your back muscles.', 'Hold this position for 15 to 30 seconds then return back to the starting position.', 'Repeat for as long and many reps as desired.')"
Barbell Calf Raise,Lower Legs,Beginner,"Strength, Isolation",Barbell,No Description,"('Begin by setting up a barbell with the amount of weight that you would like to use for this exercise and rest the barbell across the top of your upper back.', 'Slowly lean forward and raise your heels up off of the floor, pushing up as high as possible squeezing your calves at the top of the movement.', 'Hold for a two count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell One-Arm Incline Lateral Raise,Shoulders,Beginner,"Strength, Isolation",Dumbbell,No Description,"('To begin this exercise; start off lying sideways on an incline bench with a dumbbell in one hand and the other pushing the shoulder up against the bench.', 'Keep the dumbbell rested next to your pelvis and perform a lateral raise so that the dumbbell is overhead pressed and pointing at the ceiling. ', 'Hold onto this position for a few seconds.', 'Return back down to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Barbell Overhead Tricep Extension,Triceps,Beginner,"Strength, Isolation",Barbell,The barbell standing overhead tricep extension is a double arm barbell version of the behind the neck triceps exercise that targets the tricep muscle,"('Start by standing with your feet shoulder-width apart, your back straight and your abs drawn in.', 'Hold a barbell or EZ Curl bar about 6-8 inches apart with your palms facing up.', 'Raise the bar over your head and slowly lower the bar in an arc behind your head, towards your back and hold for a count.', 'Slowly bring the bar back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine Lat Pulldown (Reverse Grip),Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on a lat pull down machine, grabbing the handles with an underhand reverse grip, keeping your knees positioned underneath the padding and feet flat on the floor.', 'Once in position, slowly pull down on the handles and bring them down towards your sides, squeezing with your lat and back muscles.', 'Hold for a count then return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Bodyweight Walking Lunge,"Upper Legs, Glutes, Lower Legs",Beginner,"Strength, Compound",Body Only,No Description,"('Start by standing up straight with your knees slightly bent and arms at your sides.', 'Step forward with your left leg and squat down through your hips driving your body down towards the floor, squeezing your quads.', 'Hold for a count then continue moving forward by alternating the lunge with the opposite leg and repeating the motion.', 'Repeat for as many reps and sets as desired.')"
Barbell Incline Bench Row,"Back, Biceps, Shoulders",Intermediate,"Strength, Isolation",Barbell,No Description,"('Start by setting up a weighted barbell in front of an incline bench, laying down in a prone position with your body kept straight and your legs extend with toes on the floor in behind you.', 'Reach down with a shoulder width grip and grab the bar elevating it off of the ground slightly.', 'Slowly raise the bar up towards your chest, squeezing your back, and then hold for a count.', 'Return the barbell back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Single-Leg Squat,"Upper Legs, Lower Legs, Glutes",Intermediate,"Strength, Compound",Barbell,"The barbell single-leg squat isolates, builds and strengthens the leg muscles","('Start off by placing a bench or box 12-18 inches tall behind you.', 'Then lift a barbell off of a weight rack and position it on your shoulders.', 'Place one foot up on the bench, and your other foot firmly on the floor 2-3 feet in front you.', 'Drawing your abs in, descend slowly by bending your front knee and hip in a squatting motion.', 'Squat down as far as you can control without letting your body shift towards your toe.', 'Pause in the downward position, hold for a count and slowly return upright to the starting position.', 'Switch legs and repeat for as many reps and sets as desired.', 'You can use a pad on the bar or towel on your shoulders to help improve your grip and reduce the discomfort of the bar against your back.', 'By using a taller box, you are increasing the difficulty of the exercise.')"
Dumbbell Prone Incline Shrug,Back,Intermediate,"Strength, Isolation",Dumbbell,No Description,"('To begin this exercise; start by lying on your stomach on an incline bench holding a dumbbell in each hand with your hands reaching towards the floor.', 'Pull up using your shoulders lifting the dumbbells off the floor up towards the outer chest. Squeeze your back tightly for a few seconds before returning back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Sumo Squat,"Upper Legs, Glutes, Lower Legs",Beginner,"Strength, Compound",Barbell,"The Sumo Squat is a variation of the traditional squat that targets the muscles of the lower body, including the quadriceps, hamstrings, glutes, and inner thighs","('Stand with your feet wider than shoulder-width apart, with your toes pointed slightly outward',)"
Barbell Bench Press (Wide Grip),"Chest, Shoulders, Triceps",Beginner,"Strength, Compound",Barbell,The barbell wide grip bench press exercise is a great exercise for the pectoral muscles and uses a wider grip to focus upon the outer portion of the chest,"('Lie flat on a bench with your feet flat on the floor.', 'Begin with your back flat on a bench with your feet flat on the floor in front of you and grabbing onto the barbell with a wider than shoulder-width grip as this will be your starting position.', 'Lift the bar up and off of the rack, bring it over your chest and slowly lower it until it is just above your body and you feel a stretch in your chest muscles.', 'Hold for a count then extend your arms upward and raise the bar straight up over your chest.', 'Repeat for as many reps and sets as desired.', 'Keep your abs drawn in and your back flat on the bench throughout this exercise.', 'Refrain from bouncing the barbell off of your chest as this is improper form and can lead to injury.')"
Shoulder Stretch,Shoulders,Beginner,,Body Only,No Description,"('Start by standing up straight with your feet shoulder width apart and your arms rested at your sides.', 'Then slowly with your left arm reach across your body and hold it straight out.', 'Using your right hand, grab onto the elbow of the left arm and pull it towards your chest.', 'Hold this position for 15 to 30 seconds and then return back to the starting position.', 'Repeat for as many reps and however long you desire.')"
Cable Flat Bench Fly,Chest,Beginner,"Strength, Isolation, Strength",Machine - Strength,"The cable flat bench fly is an excellent exercise for isolating the pectoral muscles, particularly the middle part of the chest","('Place the bench in the center of the cable machine', 'Lie down on the bench with your feet flat on the floor', 'Inhale and brace your core', 'Exhale and reverse the motion, bringing the handles back together in the same wide arc')"
Dumbbell Pullover on Stability Ball,"Back, Glutes, Chest",Intermediate,"Strength, Compound",Dumbbell,No Description,"('Start by sitting on an exercise ball with a dumbbell in each hand.', 'Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you.', 'Extend the dumbbells behind your head pointed out right in front of you, then elevated them straight up with your shoulders.', 'Hold this position for a few seconds then return back to the starting position.', 'Repeat for as many reps and sets as possible.')"
Decline Bench Weighted Twist,"Core, Back, Shoulders",Intermediate,"Strength, Isolation",Weight Plate,No Description,"('Start by laying with your back flat on a decline bench holding a weight plate or dumbbell to your chest and placing your feet underneath the padded foot rests.', 'While keeping your back straight, slowly lean up so that your back creates a 90-degree angle with the bench and push the weight out directly in front of you.', 'Begin by twisting at your mid section bringing the weight over to one side until you feel a stretch in your abs, then return back to the starting position and repeat in the opposite direction.', 'Repeat for as many reps and sets as desired.')"
Yoga,"Cardio, Cardio",Beginner,Isolation,Body Only,"Yoga is a form of exercise that uses slow movements and stretching to increase flexibility, balance and is even good for relieving stress and relaxing",()
Smith Machine Decline Bench Press,Chest,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start off by taking a decline bench and placing it underneath a bar on a smith machine, lowering the bar so that it is just above chest level, and laying with your head facing the back of the machine.', 'Once in position grab the bar and release it, extending your arms until they are straight but not locked, then lower the bar until your arms are at about level with your chest.', 'Hold this position for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Rear Lateral Raise,"Shoulders, Back",Beginner,"Strength, Isolation, Strength",Machine - Strength,The Cable Rear Lateral Raise is a great exercise for building strong shoulders and targeting the rear deltoids,"('Position a bench between two cable machines', 'Sit down on the bench with your feet positioned forward', 'Inhale and engage your core for stability', 'Hold the raised position for a brief moment, focusing on squeezing your shoulder blades together to maximize the contraction in your rear deltoids', 'Exhale and slowly lower the handles back to the starting position, controlling the movement to maintain tension on the shoulder muscles')"
Dumbbell Bent-Over Row (Palm in),"Back, Back",Intermediate,"Strength, Compound",Dumbbell,No Description,"('Start by standing up straight with your feet shoulder width apart and a dumbbell in each hand holding with a neutral grip.', 'Slowly and slightly lower your back towards the ground so you feel tension in your lower back and then slowly elevate the dumbbells up towards your chest.', 'Squeeze your back in the process, hold for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Quadricep Stretch,Upper Legs,Beginner,,Body Only,No Description,"('Begin by wrapping either a belt, rope or exercise band around one of your feet and lay on your side, with the top foot being the one that is wrapped and the other extended out behind you.', 'Slowly flex the top knee and bring your foot back in attempt to touch your glutes with your heel.', 'As the belt is held over your shoulder, pull on it to increase the tension and stretch on your quad, holding this position for 15 to 30 seconds.', 'Return to the starting position and repeat for as many reps, sets and duration as you desire.')"
Dumbbell Around the World,"Chest, Triceps, Shoulders",Intermediate,"Strength, Compound",Dumbbell,No Description,"('To begin this exercise; start off laying flat down on a bench holding a dumbbell in each hand next to your thighs with palms facing up.', 'Take the dumbbells and create a semi-circle by rotating them up over your head with the motion staying parallel.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Sissy Squat,"Upper Legs, Glutes, Lower Legs",Intermediate,"Strength, Compound",Body Only,No Description,"('Start by standing up straight, with your feet shoulder width apart next to either a smith machine or support structure.', 'Bend slightly with your knees, place one arm across your chest and use the other to hold onto the support.', 'Slowly lower your body backward, while raising your heels off of the ground, squatting down until you feel a stretch in your hamstrings and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Cable Incline Press,"Chest, Shoulders",Beginner,"Strength, Compound, Strength",Machine - Strength,No Description,"('Start by laying back on an incline bench facing away from a cable machine.', 'Grab two cables and hold it both hands in an overhand grip, bringing the cables to about level with your pecs and elbows bent at 90-degrees.', 'Once in position, slowly press and extend your arms straight out until you feel tension in your chest, and hold for a count.', 'Repeat for as many reps and sets desired.')"
Donkey Calf Raise,Lower Legs,Intermediate,"Strength, Isolation",Bench,This is and old school gym exercise which requires the assistance of another person,"('Start by bending at your waist and lean your arms against a weight rack or bench that is waist height.', 'Have a partner sit on top of your lower back or place a weight plate on your back for resistance.', 'Raise up on your toes leaning slightly forward until you feel a stretch in your calve muscles.', 'Pause at the top and then lower your heels to the floor.', 'Repeat for as many reps and sets as desired.')"
Machine Assisted Pull-Up (Hammer Grip),Back,Beginner,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by setting up the weight that will allow your body to lower towards the floor and that you would like to perform for this exercise, making sure that the knee rests are in position for your body to rest upon.', 'Climb onto the machine and place your knees upon the rest, then once in position grab the pull-up handles above you, with a neutral hammer grip, and lift yourself up towards the ceiling.', 'Squeeze your lat and back muscles as your body comes up towards the ceiling until your shoulders are at hand level and hold for a count.', 'Return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Barbell Behind the Back Shrug,"Back, Back, Shoulders",Beginner,"Strength, Isolation",Barbell,No Description,"('To begin this exercise; start off by placing a barbell behind your back resting it slightly against your quads with your palms facing backwards.', 'With your shoulders, raise the barbell so that it reaches your glutes and hold onto the position for a few seconds.', 'Return back to the starting position.', 'Repeat this exercise for as many repetitions as needed.')"
Rotational Crunch,Core,Beginner,"Strength, Isolation",Body Only,No Description,"('Start by laying with your back flat on the ground, knees bent and arms at your sides.', ""Place one leg on top of the other with the lifted leg's ankle rested upon the bent knee and place your hands, interlocking your fingers, behind your head for support."", 'Slowly twist the elbow on the opposite arm towards the elevated leg until you feel a stretch in your abs.', 'Hold this position for a count then return back to the starting position.', 'Repeat for as many reps and sets as desired.')"
Machine One-Arm Pulldown,Back,Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Start by sitting on an iso lateral pulldown machine with your feet flat on the floor in front of you and thighs rested underneath the padding for stability.', 'Reach up and grab one handle with an overhand grip as this will be your starting position.', 'Slowly pull down, bringing the handle to your side and squeeze with your back and lat muscles.', 'Hold for a count then return back up to the starting position.', 'Repeat for as many reps and sets as desired.')"
Dumbbell Lateral Raise (Prone),Shoulders,Intermediate,"Strength, Isolation",Dumbbell,"The Dumbbell Lateral Raise (Prone) is an effective exercise for targeting the deltoid muscles, particularly the rear delts","('Set an incline bench to about 30-45 degrees', 'Lie face down on the bench with your chest supported and feet planted firmly on the floor for stability', 'Engage your core and keep your neck in a neutral position (in line with your spine)', 'Slowly lower the dumbbells back to the starting position in a controlled manner, maintaining the slight bend in your elbows')"
Dumbbell Seated Alternating Hammer Curl,Biceps,Beginner,"Strength, Isolation",Dumbbell,No Description,"('Start off setting up an flat bench and then sit down on the bench, with a dumbbell in each hand and feet flat on the floor.', 'Hold the dumbbells in an neutral grip with your palms facing inward, then slowly lift one dumbbell up towards your shoulder, isolating the bicep and hold for a count.', 'Return back to the starting position and repeat with the opposite arm.', 'Repeat for as many reps and sets as desired.')"
Barbell Seated Calf Raise,Lower Legs,Beginner,"Strength, Isolation",Barbell,The barbell seated calf raise is a version of the standard calf raise that uses a block and barbell,"('Start by placing a block on the floor about one foot in front of a bench.', 'Rest a barbell across your upper thighs and then sit on the bench with the balls of your feet placed upon the block.', 'While keeping the barbell rested across your thighs, slowly raise and lower your heels up as high as possible without lifting your foot off of the block.', 'Repeat for as many reps and sets as desired.')"
Cable Kneeling Crunch,"Core, Core",Intermediate,"Strength, Isolation, Strength",Machine - Strength,No Description,"('Begin by kneeling down on an exercise mat in front of a cable machine, grabbing a straight bar and keep your back straight.', 'Slowly pull the handle down towards your knees using your abdominal muscles.', 'Return back to the starting position and repeat for as many reps and sets desired.')"
Tricep Stretch,"Triceps, Triceps, Shoulders",Beginner,Compound,Body Only,No Description,"('Stand straight up with your arms at your sides and feet close together.', 'Reach up with both hands and extend them up and behind your head.', 'Then with one of the hands, reach over and press upon the other hand, feeling an extension and stretch in your triceps.', 'Hold onto this stretch for 15 to 30 seconds and repeat with the opposite arm.')"
